complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,"Description mentions ""heritage"" — classified as Heritage Damage.",
KM-202402,Heritage Damage,Standard,"Description mentions ""historic"" — classified as Heritage Damage.",
KM-202405,Noise,Standard,"Description mentions ""band playing"" — classified as Noise.",
KM-202409,Pothole,Standard,"Description mentions ""pothole"" — classified as Pothole.",
KM-202410,Pothole,Standard,"Description mentions ""pothole"" — classified as Pothole.",
KM-202411,Pothole,Standard,"Description mentions ""pothole"" — classified as Pothole.",
KM-202415,Flooding,Standard,"Description mentions ""draining directly onto public road"" — classified as Flooding.",
KM-202418,Waste,Standard,"Description mentions ""waste"" — classified as Waste.",
KM-202421,Road Damage,Urgent,"Description mentions ""sinking"" — classified as Road Damage.",
KM-202422,Road Damage,Standard,"Description mentions ""road surface"" — classified as Road Damage.",
KM-202426,Heritage Damage,Standard,"Description mentions ""heritage"" — classified as Heritage Damage.",
KM-202430,Road Damage,Standard,"Description mentions ""subsided"" — classified as Road Damage.",
KM-202434,Road Damage,Standard,"Description mentions ""paving"" — classified as Road Damage.",
KM-202436,Streetlight,Standard,"Description mentions ""darkness"" — classified as Streetlight.",
KM-202438,Noise,Standard,"Description mentions ""amplifiers"" — classified as Noise.",
