complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Description mentions ""pothole"" — classified as Pothole.",
PM-202402,Pothole,Urgent,"Description mentions ""pothole"" — classified as Pothole.",
PM-202406,Flooding,Standard,"Description mentions ""flood"" — classified as Flooding.",
PM-202408,Flooding,Standard,"Description mentions ""flood"" — classified as Flooding.",
PM-202410,Streetlight,Standard,"Description mentions ""streetlight"" — classified as Streetlight.",
PM-202411,Streetlight,Urgent,"Description mentions ""streetlight"" — classified as Streetlight.",
PM-202413,Waste,Standard,"Description mentions ""garbage"" — classified as Waste.",
PM-202418,Noise,Standard,"Description mentions ""music"" — classified as Noise.",
PM-202419,Road Damage,Standard,"Description mentions ""cracked"" — classified as Road Damage.",
PM-202420,Drain Blockage,Urgent,"Description mentions ""manhole"" — classified as Drain Blockage.",
PM-202427,Flooding,Standard,"Description mentions ""flood"" — classified as Flooding.",
PM-202428,Waste,Standard,"Description mentions ""dead animal"" — classified as Waste.",
PM-202430,Streetlight,Standard,"Description mentions ""lights out"" — classified as Streetlight.",
PM-202433,Waste,Standard,"Description mentions ""waste"" — classified as Waste.",
PM-202446,Road Damage,Urgent,"Description mentions ""upturned"" — classified as Road Damage.",
